"TypeNatureCode_ID","Description","ID_911","Category","NEMSIS"
222,"EYE/CODE 3 EMS ONLY                               ","EY4     ",3,"475 "
223,"EYE/CODE 1 EMS ONLY                               ","EY8     ",3,"475 "
224,"EYE/CHANGE                                        ","EYC     ",15,"475 "
225,"FALLS/NON EMERGECNY                               ","FA0     ",3,"480 "
226,"FALLS/CODE 3 EMS ONLY                             ","FA4     ",3,"480 "
227,"FALLS/CODE 1 EMS ONLY                             ","FA8     ",3,"480 "
228,"FALLS/CHANGE                                      ","FAC     ",15,"480 "
229,"HEAT-COLD/NON EMERGENCY                           ","HC0     ",3,"495 "
230,"HEAT-COLD/CODE 3 EMS ONLY                         ","HC4     ",3,"495 "
231,"HEAT-COLD/CODE 1 EMS ONLY                         ","HC8     ",3,"495 "
232,"HEAT-COLD/CHANGE                                  ","HCC     ",15,"495 "
233,"HEADACHE/NON EMERGENCY                            ","HE0     ",3,"485 "
234,"HEADACHE/CODE 3 EMS ONLY                          ","HE4     ",3,"485 "
235,"HEADACHE/CODE 1 EMS ONLY                          ","HE8     ",3,"485 "
236,"HEADACHE/CHANGE                                   ","HEC     ",15,"485 "
237,"HAZMAT/CODE 3 EMS ONLY                            ","HM4     ",3,"435 "
238,"HAZMAT/CODE 1 EMS ONLY                            ","HM8     ",3,"435 "
239,"HAZMAT/CHANGE                                     ","HMC     ",15,"435 "
240,"MAN DOWN/CHANGE                                   ","MNC     ",15,"555 "
241,"PREGNANCY/NON EMERGENCY                           ","OB0     ",3,"515 "
242,"PREGNANCY/CODE 3 EMS ONLY                         ","OB4     ",3,"515 "
243,"PREGNANCY/CODE 1 EMS ONLY                         ","OB8     ",3,"515 "
244,"PREGNANCY/CHANGE                                  ","OBC     ",15,"515 "
245,"OVERDOSE/NON EMERGENCY                            ","OD0     ",3,"510 "
246,"OVERDOSE/CODE 3 EMS ONLY                          ","OD4     ",3,"510 "
247,"OVERDOSE/CODE 1 EMS ONLY                          ","OD8     ",3,"510 "
248,"OVERDOSE/CHANGE                                   ","ODC     ",15,"510 "
249,"SICK/NON EMERGENCY                                ","SK0     ",3,"525 "
250,"SICK/CODE 3 EMS ONLY                              ","SK4     ",3,"525 "
251,"SICK/CHANGE                                       ","SKC     ",15,"525 "
252,"STROKE/NON EMERGENCY                              ","ST0     ",3,"535 "
253,"STROKE/CODE 3 EMS ONLY                            ","ST4     ",3,"535 "
254,"STROKE/CODE 1 EMS ONLY                            ","ST8     ",3,"535 "
255,"STROKE/CHANGE                                     ","STC     ",15,"535 "
256,"SEIZURE/NON EMERGENCY                             ","SZ0     ",3,"455 "
257,"SEIZURE/CODE 3 EMS ONLY                           ","SZ4     ",3,"455 "
258,"SEIZURE/CODE 1 EMS ONLY                           ","SZ8     ",3,"455 "
259,"SEIZURE/CHANGE                                    ","SZC     ",15,"455 "
260,"TRAFFIC ACC/NON EMERGENCY                         ","TA0     ",3,"540 "
261,"TRAFFIC ACC/CODE 3 EMS ONLY                       ","TA4     ",3,"540 "
262,"TRAFFIC ACC/CODE 1 EMS ONLY                       ","TA8     ",3,"540 "
263,"TRAFFIC ACC/CHANGE                                ","TAC     ",15,"540 "
264,"TRAUMA/NON EMERGENCY                              ","TR0     ",3,"545 "
265,"TRAUMA/CODE 3 EMS ONLY                            ","TR4     ",3,"545 "
266,"TRAUMA/CODE 1 EMS ONLY                            ","TR8     ",3,"545 "
267,"TRAUMA/CHANGE                                     ","TRC     ",15,"545 "
268,"UNKNOWN/NON EMERGENCY                             ","UK0     ",3,"-10 "
269,"UNKNOWN/CODE 3 EMS ONLY                           ","UK4     ",3,"-10 "
270,"UNKNOWN/CODE 1 EMS ONLY                           ","UK8     ",3,"-10 "
271,"UNKNOWN/CHANGE                                    ","UKC     ",15,"-10 "
272,"UNCONSCIOUS/NON EMERGENCY                         ","UN0     ",3,"550 "
273,"UNCONSCIOUS/CODE 3 EMS ONLY                       ","UN4     ",3,"550 "
274,"UNCONSCIOUS/CHANGE                                ","UNC     ",15,"550 "
275,"TEST RD CALL                                      ","TESTR   ",13,"-25 "
276,"LIGHT RAIL TUNNEL INCIDENT                        ","TUNNEL  ",10,"-25 "
277,"STROKE/FIRE ONLY                                  ","ST9     ",3,"535 "
278,"BEHAVIOR/FIRE ONLY                                ","BE9     ",3,"520 "
279,"PREGNANCY/FIRE ONLY                               ","OB9     ",3,"515 "
280,"MUTUAL AID (MUT)                                  ","MUT     ",0,"-25 "
281,"MUTUAL AID                                        ","MUTUAL  ",0,"-25 "
282,"AIRCRAFT EMERGENCY                                ","PDXAIR  ",3,"-25 "
283,"AIRPORT                                           ","PDX     ",1,"-25 "
284,"BIOLOGICAL/CHEMICAL                               ","33C     ",4,"-25 "
285,"BIOLOGICAL/CHEMICAL THREAT                        ","33CTH   ",4,"-25 "
286,"RIVER DIVE RESPONSE                               ","DIVE    ",3,"465 "
287,"TRAUMA/PIN-IN                                     ","TR1P    ",10,"545 "
288,"ADMIN                                             ","ADMIN   ",14,"-25 "
289,"COMMUNITY EMERGENCY SERVICES                      ","CES     ",14,"-25 "
290,"COMPANY EVALUATION                                ","COEVAL  ",14,"-25 "
291,"DELAYED RESPONSE                                  ","DELAY   ",5,"-25 "
292,"DETAIL                                            ","DETAIL  ",14,"-25 "
293,"EQUIPMENT                                         ","EQUIP   ",14,"-25 "
294,"FIRE PREVENTION                                   ","FIREP   ",14,"-25 "
295,"FMA DEVELOPMENT                                   ","FMADEV  ",14,"-25 "
296,"FUELING                                           ","FUEL    ",14,"-25 "
297,"HEALTH                                            ","HEALTH  ",14,"-10 "
298,"INSPECTION                                        ","INSPEC  ",14,"-25 "
299,"LADDER TEST                                       ","LADDER  ",13,"-25 "
300,"MAINTENANCE                                       ","MAINT   ",14,"-25 "
301,"MECHANICAL                                        ","MECH    ",14,"-25 "
302,"MEDICAL EXAMINATION                               ","MEDEX   ",14,"525 "
303,"CHANGING O2                                       ","O2      ",14,"-25 "
304,"PA TEST                                           ","PATEST  ",13,"-25 "
305,"PERSONAL                                          ","PERSNL  ",14,"-25 "
306,"PHYSICAL FITNESS                                  ","PHYFIT  ",14,"-25 "
307,"PUMP TEST                                         ","PUMPT   ",13,"-25 "
308,"RIG CHANGE                                        ","RIGCHG  ",14,"-25 "
309,"HAZMAT RIVER 50-500 GAL SPILL                     ","RIVER2  ",4,"435 "
310,"HAZMAT RIVER 500+ GAL SPILL                       ","RIVER3  ",4,"435 "
311,"STAFFING                                          ","STAFF   ",14,"-25 "
312,"SUPPLY                                            ","SUPPLY  ",14,"-25 "
313,"TEST COMMERCIAL FIRE                              ","TESTC   ",13,"-25 "
314,"TEST MISCF                                        ","TESTF   ",13,"-25 "
315,"TEST MEDICAL CALL                                 ","TESTM   ",13,"-25 "
316,"UNCONSCIOUS/FIRE ONLY                             ","UNK9    ",3,"550 "
317,"BIOLOGICAL/CHEMICAL                               ","33INV   ",4,"-25 "
318,"MAX TRAIN ACCIDENT                                ","TA1MAX  ",3,"-25 "
319,"MOVE UP                                           ","MOVEUP  ",5,"-25 "
320,"BOX RESPONSE                                      ","BOX     ",4,"-25 "
321,"VIP                                               ","VIP     ",14,"-25 "
322,"AIRCRAFT EMERGENCY LEVEL 1                        ","ALERT1  ",4,"-25 "
323,"AIRCRAFT EMERGENCY LEVEL 2                        ","ALERT2  ",4,"-25 "
324,"AIRCRAFT EMERGENCY LEVEL 3                        ","ALERT3  ",4,"-25 "
325,"TRAFFIC ACCIDENT INVESTIGATION FOR UNKNOWN        ","TAINV   ",4,"-25 "
326,"CIVILIAN AIRCRAFT EMERGENCY                       ","AIRCIV  ",4,"-25 "
327,"COMMERCIAL AIRCRAFT EMERGENCY                     ","AIRCOM  ",4,"-25 "
328,"MILITARY AIRCRAFT EMERGENCY                       ","AIRMIL  ",4,"-25 "
329,"TAZER/FIRE ONLY                                   ","TZ9     ",3,"470 "
330,"TAZER/1ST RESP                                    ","TZ3     ",3,"470 "
331,"HIGH RISE FIRE                                    ","HIRISE  ",1,"-25 "
332,"POTENTIAL JUMPER                                  ","JUMP    ",3,"-25 "
333,"WEAPON MASS DESTRUCTION                           ","WMD     ",4,"-25 "
334,"CAD TO CAD - FIRE                                 ","C2CFIR  ",0,"-25 "
335,"TRAFFIC ACC W/PED OR BIKE                         ","TA1PED  ",3,"540 "
336,"AIRCRAFT EMERGENCY GROUND                         ","GROUND  ",4,"-25 "
337,"WATER RESCUE                                      ","WATRES  ",3,"-25 "
338,"TAZER/CODE 1 EMS ONLY                             ","TZ8     ",3,"470 "
340,"PDX - AED ACTIVATION                              ","AED     ",3,"-25 "
341,"AIRCRAFT IN THE RIVER                             ","AIRRIV  ",4,"-25 "
342,"BULL RUN INCIDENT                                 ","BULLRU  ",4,"-25 "
343,"MEDICAL SPECIAL EVENT                             ","MEVENT  ",3,"-10 "
344,"MARINE - RIVER EVENT                              ","RIVF    ",4,"-25 "
345,"MT TABOR INCIDENT                                 ","TABOR   ",4,"-25 "
346,"MARINE - WATER RESCUE                             ","WATERE  ",5,"-25 "
350,"PDX - BIOLOGICAL/CHEMICAL                         ","A33C    ",4,"-25 "
351,"PDX - BIOLOGICAL/CHEMICAL THREAT                  ","A33CTH  ",4,"-25 "
352,"PDX - AB3 - ABDOMINAL - 1ST REPONSE (FIRE & EMS)  ","AAB3    ",3,"400 "
353,"PDX - AB9 - ABDOMINAL - CODE 1 FIRE ONLY          ","AAB9    ",3,"400 "
354,"PDX - APARTMENT OR MULTIDWELLING FIRE             ","AAFIRE  ",1,"-25 "
355,"PDX - AIRCRAFT EMERGENCY                          ","AAIR    ",3,"-25 "
356,"PDX - AIRCRAFT IN THE RIVER                       ","AAIRRI  ",4,"-25 "
357,"PDX - AL3 - ALLERGIES - 1ST RESPONSE              ","AAL3    ",3,"405 "
358,"PDX - AL9 - ALLERGIES FIRE ONLY                   ","AAL9    ",3,"405 "
359,"PDX - AUDIBLE FIRE ALARM                          ","AALMAU  ",7,"-25 "
360,"PDX - AUTOMATIC FIRE ALARM - COMMERCIAL           ","AALMCO  ",7,"-25 "
361,"PDX - AN3 - ANIMAL BITES - 1ST RESPONSE           ","AAN3    ",3,"410 "
362,"PDX - AN9 - ANIMAL BITES -  FIRE ONLY             ","AAN9    ",3,"410 "
363,"PDX - ANIMAL RESCUE                               ","AANRES  ",5,"-25 "
364,"PDX - APPLIANCE / EQUIPMENT FIRE                  ","AAPPLI  ",1,"-25 "
365,"PDX - AS1 - ASSAULT 1ST RESPONSE                  ","AAS1    ",3,"415 "
366,"PDX - AS3 - ASSAULT 1ST RESPONSE                  ","AAS3    ",3,"415 "
367,"PDX - AS9 - ASSAULT FIRE ONLY                     ","AAS9    ",3,"415 "
368,"PDX - BE3 - BEHAVIOR PROBLEM 1ST RESPONSE         ","ABE3    ",3,"520 "
369,"PDX - BE9 - BEHAVIOR PROBLEM FIRE ONLY            ","ABE9    ",3,"520 "
370,"PDX - BK3 - BACK PAIN 1ST RESPONSE                ","ABK3    ",3,"420 "
371,"PDX - BK9 - BACK PAIN  FIRE ONLY                  ","ABK9    ",3,"420 "
372,"PDX - BL3 - BLEEDING 1ST RESPONSE                 ","ABL3    ",3,"500 "
373,"PDX - BL9 - BLEEDING  FIRE ONLY                   ","ABL9    ",3,"500 "
374,"PDX -  BOAT FIRE                                  ","ABOAT   ",1,"-25 "
375,"PDX - BOX RESPONSE                                ","ABOX    ",4,"-25 "
376,"PDX - BR1 - BREATHING 1ST RESPONSE                ","ABR1    ",3,"425 "
377,"PDX - BR9 - BREATHING  FIRE ONLY                  ","ABR9    ",3,"425 "
378,"PDX - BRUSH FIRE (UP TO 100'X100')                ","ABRUSH  ",1,"-25 "
